[2022-03-21 08:25:10] [info]  [16080] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-03-21 08:25:11] [info]  [16080] Running Service 'Tomcat9'...
[2022-03-21 08:25:11] [info]  [16096] Starting service...
[2022-03-21 08:25:14] [info]  [16096] Service started in 2561 milliseconds.
[2022-03-21 08:55:46] [info]  [ 9212] Stopping service...
[2022-03-21 08:55:47] [info]  [ 9212] Service stop thread completed.
[2022-03-21 08:55:47] [info]  [16080] Run service finished.
[2022-03-21 08:55:47] [info]  [16080] Apache Commons Daemon procrun finished.
[2022-03-21 08:56:16] [info]  [15792] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-03-21 08:56:16] [info]  [15792] Running Service 'Tomcat9'...
[2022-03-21 08:56:16] [info]  [12972] Starting service...
[2022-03-21 08:56:17] [info]  [12972] Service started in 1393 milliseconds.
[2022-03-21 09:05:15] [info]  [15076] Stopping service...
[2022-03-21 09:05:16] [info]  [15076] Service stop thread completed.
[2022-03-21 09:05:16] [info]  [15792] Run service finished.
[2022-03-21 09:05:16] [info]  [15792] Apache Commons Daemon procrun finished.
[2022-03-21 09:05:26] [info]  [ 1712] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-03-21 09:05:26] [info]  [ 1712] Running Service 'Tomcat9'...
[2022-03-21 09:05:26] [info]  [17548] Starting service...
[2022-03-21 09:05:27] [info]  [17548] Service started in 1110 milliseconds.
[2022-03-21 09:13:50] [info]  [13848] Stopping service...
[2022-03-21 09:13:51] [info]  [13848] Service stop thread completed.
[2022-03-21 09:13:51] [info]  [ 1712] Run service finished.
[2022-03-21 09:13:51] [info]  [ 1712] Apache Commons Daemon procrun finished.
[2022-03-21 09:14:17] [info]  [ 2360] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-03-21 09:14:17] [info]  [ 2360] Running Service 'Tomcat9'...
[2022-03-21 09:14:17] [info]  [13468] Starting service...
[2022-03-21 09:14:18] [info]  [13468] Service started in 1120 milliseconds.
[2022-03-22 00:46:31] [info]  [ 1888] Console SHUTDOWN event signaled.
[2022-03-22 00:46:31] [info]  [ 1888] Stopping service...
[2022-03-22 00:46:33] [info]  [ 1888] Service stop thread completed.
[2022-03-22 00:46:33] [info]  [ 2360] Run service finished.
[2022-03-22 00:46:33] [info]  [ 2360] Apache Commons Daemon procrun finished.
